,GUID,GEOGID,GEOGDESC,0 - 9 years,10 - 19 years,20 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and over
816,2AE1962918BD13A3E055000000000001,ED3409_11045,Julianstown,1852,1532,844,1558,1727,1133,907,455,168
817,2AE19629188413A3E055000000000001,ED3409_11046,Mellifont,66,73,42,58,91,80,58,44,29
818,2AE19629182613A3E055000000000001,ED3409_11047,St. Mary's (Part Rural),2298,1777,991,2079,2139,1147,678,502,253
819,2AE19629182913A3E055000000000001,ED3409_11048,Stamullin,1030,712,439,885,894,445,301,208,95
820,2AE19629181A13A3E055000000000001,ED3409_11049,Ardbraccan,339,276,182,270,332,237,251,133,56
821,2AE19629182513A3E055000000000001,ED3409_11050,Ardmulchan,151,122,106,136,118,159,117,44,26
822,2AE19629183D13A3E055000000000001,ED3409_11051,Bective,166,197,96,111,215,146,90,69,29
823,2AE19629185413A3E055000000000001,ED3409_11052,Castletown,156,149,95,112,154,160,94,51,24
824,2AE19629187813A3E055000000000001,ED3409_11053,Domhnach Ph·draig,291,296,153,215,306,241,168,80,50
825,2AE19629181113A3E055000000000001,ED3409_11054,Kentstown,394,320,180,348,342,234,204,97,33
826,2AE19629189213A3E055000000000001,ED3409_11055,Navan Rural,5256,4399,2915,4831,4760,2662,1777,1034,483
827,2AE1962918A913A3E055000000000001,ED3409_11056,Painestown,154,173,102,133,206,168,148,63,38
828,2AE1962918B613A3E055000000000001,ED3409_11057,Rathkenny,119,80,47,75,108,89,61,44,12
829,2AE19629181C13A3E055000000000001,ED3409_11058,Slane,299,254,174,256,343,217,170,97,43
830,2AE19629182713A3E055000000000001,ED3409_11059,Stackallan,62,108,68,83,112,99,70,44,15
831,2AE19629181F13A3E055000000000001,ED3409_11060,Tara,160,151,104,157,151,158,158,109,79
832,2AE19629186113A3E055000000000001,ED3409_11061,Crossakeel,90,58,44,98,84,66,38,17,16
833,2AE19629186B13A3E055000000000001,ED3409_11062,Crosskeys,45,44,23,50,43,46,50,15,9
834,2AE19629183E13A3E055000000000001,ED3409_11063,Killallon,46,35,23,43,44,50,27,24,9
835,2AE19629184B13A3E055000000000001,ED3409_11064,Killeagh,57,54,30,48,61,60,57,41,19
836,2AE19629187013A3E055000000000001,ED3409_11065,Knocklough,31,28,22,24,37,22,25,14,9
837,2AE19629188613A3E055000000000001,ED3409_11066,Moylagh,37,53,48,44,44,75,49,27,18
838,2AE1962918A813A3E055000000000001,ED3409_11067,Oldcastle,343,341,203,366,339,272,236,142,55
839,2AE19629181D13A3E055000000000001,ED3409_11068,Stonefield,22,40,17,20,34,37,25,13,8
840,2AE19629182F13A3E055000000000001,ED3409_11069,Ardnamullan,131,129,96,112,130,130,81,32,23
841,2AE19629183013A3E055000000000001,ED3409_11070,Baile ¡tha BuÌ,382,368,288,367,388,334,215,155,91
842,2AE19629183A13A3E055000000000001,ED3409_11071,Ballyboggan,76,80,45,45,100,71,43,28,40
843,2AE19629183B13A3E055000000000001,ED3409_11072,Ballyconnell,114,98,87,93,96,112,86,38,19
844,2AE19629184A13A3E055000000000001,ED3409_11073,Castlejordan,53,76,51,39,70,55,49,22,12
